请求时间,IP:端口,是否成功,有效URL,状态码,响应时间(秒),频道数,URL类型,失败原因
2026-04-09T12:53:34.905264,182.207.218.40:999,False,,,,0,,连接失败: http://182.207.218.40:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.881928,182.207.218.14:999,False,,,,0,,连接失败: http://182.207.218.14:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.918164,182.207.218.55:999,False,,,,0,,连接失败: http://182.207.218.55:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.909642,182.207.218.46:999,False,,,,0,,连接失败: http://182.207.218.46:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.949391,182.207.218.134:999,False,,,,0,,连接失败: http://182.207.218.134:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.890929,182.207.218.25:999,True,http://182.207.218.25:999/iptv/live/1000.json?key=txiptv,200,1.5920779705047607,64,direct_json,
2026-04-09T12:53:35.996186,182.207.218.141:999,False,,,,0,,连接失败: http://182.207.218.141:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.470145,182.207.218.146:999,False,,,,0,,连接失败: http://182.207.218.146:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.468724,182.207.218.145:999,False,,,,0,,连接失败: http://182.207.218.145:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.454052,182.207.218.121:999,False,,,,0,,连接失败: http://182.207.218.121:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.882800,182.207.218.15:999,False,,,,0,,连接失败: http://182.207.218.15:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.442373,182.207.218.115:999,False,,,,0,,连接失败: http://182.207.218.115:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:37.499198,182.207.218.154:999,False,,,,0,,连接失败: http://182.207.218.154:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.014703,182.207.218.143:999,False,,,,0,,连接失败: http://182.207.218.143:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.875676,182.207.218.7:999,False,,,,0,,超时: http://182.207.218.7:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.869082,182.207.218.2:999,False,,,,0,,超时: http://182.207.218.2:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.868727,182.207.218.1:999,False,,,,0,,超时: http://182.207.218.1:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.876621,182.207.218.8:999,False,,,,0,,超时: http://182.207.218.8:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.873135,182.207.218.5:999,False,,,,0,,超时: http://182.207.218.5:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.878301,182.207.218.10:999,False,,,,0,,超时: http://182.207.218.10:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.877439,182.207.218.9:999,False,,,,0,,超时: http://182.207.218.9:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.880086,182.207.218.12:999,False,,,,0,,超时: http://182.207.218.12:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.879218,182.207.218.11:999,False,,,,0,,超时: http://182.207.218.11:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.883746,182.207.218.16:999,False,,,,0,,超时: http://182.207.218.16:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.884589,182.207.218.17:999,False,,,,0,,超时: http://182.207.218.17:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.887215,182.207.218.20:999,False,,,,0,,超时: http://182.207.218.20:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.886385,182.207.218.19:999,False,,,,0,,超时: http://182.207.218.19:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.888987,182.207.218.22:999,False,,,,0,,超时: http://182.207.218.22:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.890669,182.207.218.24:999,False,,,,0,,超时: http://182.207.218.24:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.894598,182.207.218.28:999,False,,,,0,,超时: http://182.207.218.28:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.892677,182.207.218.27:999,False,,,,0,,超时: http://182.207.218.27:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.899192,182.207.218.33:999,False,,,,0,,超时: http://182.207.218.33:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.900063,182.207.218.34:999,False,,,,0,,超时: http://182.207.218.34:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.900946,182.207.218.35:999,False,,,,0,,超时: http://182.207.218.35:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.904355,182.207.218.39:999,False,,,,0,,超时: http://182.207.218.39:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.903528,182.207.218.38:999,False,,,,0,,超时: http://182.207.218.38:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.906085,182.207.218.41:999,False,,,,0,,超时: http://182.207.218.41:999/ZHGXTV/Public/json/live_interface.txt
